Marital Status_x;Gender_x;Income;Children;Education;Occupation;Home Owner_x;Cars;Commute Distance;Region;Age;Purchased Bike;Commute Distance Num;Income suavizado;Income Log;Income Normal Log;Income Boxcox;Age Log;Age Children;Cars Distance;Marital Status_y;Gender_y;Education_1;Education_2;Education_3;Education_4;Occupation_1;Occupation_2;Occupation_3;Occupation_4;Home Owner_y;Commute Distance_1;Commute Distance_2;Commute Distance_3;Commute Distance_4;Region_1;Region_2;Target
Married;Female;40000.0;1.0;Bachelors;Skilled Manual;Yes;0.0;0-1 Miles;Europe;42.0;0;0;56292.585171242485;10.59666;0.48929095837804265;282.5292037510229;3.7612;42.0;0.0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Married;Male;30000.0;3.0;Partial College;Clerical;Yes;1.0;0-1 Miles;Europe;43.0;0;0;50000.0;10.308986;0.387751313040041;247.23591205231693;3.7842;129.0;0.0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Married;Male;80000.0;5.0;Partial College;Professional;No;2.0;2-5 Miles;Europe;60.0;0;2;60000.0;11.289794;0.733944908793133;389.46202642247846;4.1109;300.0;4.0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
Single;Male;70000.0;0.0;Bachelors;Professional;Yes;1.0;5-10 Miles;Pacific;41.0;1;3;60000.0;11.156265;0.6868134777206754;366.12722302259004;3.7377;0.0;3.0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1
Single;Male;30000.0;0.0;Bachelors;Clerical;No;0.0;0-1 Miles;Europe;36.0;1;0;36666.6667;10.308986;0.387751313040041;247.23591205231693;3.6109;0.0;0.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Married;Female;10000.0;2.0;Partial College;Manual;Yes;0.0;1-2 Miles;Europe;50.0;0;1;66666.6667;9.21044;0.0;148.28285361177265;3.9318;100.0;0.0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0
Single;Male;160000.0;2.0;High School;Management;Yes;4.0;0-1 Miles;Pacific;33.0;1;0;70000.0;11.982935;0.9786013299824928;536.5582276214133;3.5264;66.0;0.0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1
Married;Male;40000.0;1.0;Bachelors;Skilled Manual;Yes;0.0;0-1 Miles;Europe;43.0;1;0;73333.3333;10.59666;0.48929095837804265;282.5292037510229;3.7842;43.0;0.0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1
Married;Male;20000.0;2.0;Partial High School;Clerical;Yes;2.0;5-10 Miles;Pacific;58.0;0;3;40000.0;9.903538;0.24464124357598666;204.79348745593873;4.0775;116.0;6.0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0
Married;Male;60000.0;2.0;Partial College;Manual;Yes;1.0;0-1 Miles;Europe;43.0;1;0;36666.6667;11.002117;0.6324042045518723;340.9127689822621;3.7842;86.0;0.0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1
Married;Female;30000.0;3.0;High School;Skilled Manual;No;2.0;1-2 Miles;Pacific;54.0;1;1;60000.0;10.308986;0.387751313040041;247.23591205231693;4.0073;162.0;2.0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1
Single;Female;90000.0;0.0;Bachelors;Professional;No;4.0;10+ Miles;Pacific;36.0;0;4;96666.6667;11.407576;0.7755181566612078;411.2689597770556;3.6109;0.0;16.0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
Married;Male;170000.0;5.0;Partial College;Professional;Yes;1.0;0-1 Miles;Europe;55.0;0;0;100000.0;12.04356;1.0;551.7953219817501;4.0254;275.0;0.0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
Married;Male;40000.0;2.0;Partial College;Clerical;Yes;1.0;1-2 Miles;Europe;35.0;1;1;90000.0;10.59666;0.48929095837804265;282.5292037510229;3.5835;70.0;1.0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1
Single;Male;60000.0;1.0;Partial College;Skilled Manual;No;1.0;0-1 Miles;Pacific;45.0;1;0;36666.6667;11.002117;0.6324042045518723;340.9127689822621;3.8286;45.0;0.0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1
Single;Female;10000.0;2.0;High School;Manual;Yes;1.0;0-1 Miles;Europe;38.0;1;0;33333.3333;9.21044;0.0;148.28285361177265;3.6636;76.0;0.0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1
Single;Male;30000.0;3.0;Partial College;Clerical;No;2.0;1-2 Miles;Pacific;59.0;1;1;23333.3333;10.308986;0.387751313040041;247.23591205231693;4.0943;177.0;2.0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1
Married;Female;30000.0;1.0;Bachelors;Clerical;Yes;0.0;0-1 Miles;Europe;47.0;0;0;33333.3333;10.308986;0.387751313040041;247.23591205231693;3.8712;47.0;0.0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Single;Male;40000.0;2.0;Partial College;Clerical;Yes;1.0;1-2 Miles;Europe;35.0;1;1;30000.0;10.59666;0.48929095837804265;282.5292037510229;3.5835;70.0;1.0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1
Single;Male;20000.0;2.0;Partial High School;Clerical;Yes;2.0;5-10 Miles;Pacific;55.0;1;3;33333.3333;9.903538;0.24464124357598666;204.79348745593873;4.0254;110.0;6.0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1
Married;Female;40000.0;0.0;Graduate Degree;Clerical;Yes;0.0;0-1 Miles;Europe;36.0;1;0;46666.6667;10.59666;0.48929095837804265;282.5292037510229;3.6109;0.0;0.0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Single;Female;80000.0;0.0;Bachelors;Professional;Yes;4.0;10+ Miles;Pacific;35.0;0;4;53333.3333;11.289794;0.733944908793133;389.46202642247846;3.5835;0.0;16.0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0
Single;Male;40000.0;2.0;Partial College;Clerical;Yes;0.0;1-2 Miles;Europe;35.0;1;1;66666.6667;10.59666;0.48929095837804265;282.5292037510229;3.5835;70.0;0.0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1
Married;Female;80000.0;5.0;High School;Management;No;3.0;5-10 Miles;Europe;56.0;0;3;53333.3333;11.289794;0.733944908793133;389.46202642247846;4.0431;280.0;9.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
Single;Male;40000.0;2.0;Partial College;Clerical;No;1.0;0-1 Miles;Europe;34.0;0;0;50000.0;10.59666;0.48929095837804265;282.5292037510229;3.5553;68.0;0.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Single;Male;30000.0;1.0;Bachelors;Clerical;Yes;0.0;0-1 Miles;Europe;63.0;0;0;33333.3333;10.308986;0.387751313040041;247.23591205231693;4.1589;63.0;0.0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Single;Male;30000.0;0.0;Partial College;Clerical;No;1.0;0-1 Miles;Europe;29.0;1;0;53333.3333;10.308986;0.387751313040041;247.23591205231693;3.4012;0.0;0.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Married;Female;100000.0;0.0;Bachelors;Professional;No;1.0;5-10 Miles;Pacific;40.0;0;3;66666.6667;11.512935;0.8127064861354271;431.80284375606345;3.7136;0.0;3.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0
Married;Male;70000.0;5.0;Partial College;Skilled Manual;Yes;2.0;5-10 Miles;Pacific;44.0;0;3;63333.3333;11.156265;0.6868134777206754;366.12722302259004;3.8067;220.0;6.0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0
Single;Female;20000.0;0.0;Partial High School;Manual;No;2.0;0-1 Miles;Europe;32.0;1;0;36666.6667;9.903538;0.24464124357598666;204.79348745593873;3.4965;0.0;0.0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1
